,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
687,3,32,30,0.1429,0.156,0.144,0.0566
688,3,32,32,0.1429,0.156,0.144,0.0513
689,3,32,34,0.1429,0.156,0.144,0.0477
690,3,32,36,0.1429,0.156,0.144,0.0471
691,3,32,38,0.1429,0.156,0.144,0.0456
692,3,32,40,0.1429,0.156,0.144,0.044
693,3,64,0,1.0,0.8,0.82,0.4594
694,3,64,2,0.8643,0.262,0.302,0.267
695,3,64,4,0.6214,0.172,0.201,0.2353
696,3,64,6,0.4429,0.136,0.161,0.1988
697,3,64,8,0.2786,0.13,0.151,0.1591
698,3,64,10,0.2357,0.13,0.139,0.1406
699,3,64,12,0.1786,0.13,0.134,0.1216
700,3,64,14,0.1643,0.124,0.133,0.1096
701,3,64,16,0.1929,0.124,0.136,0.0908
702,3,64,18,0.1643,0.124,0.133,0.0835
703,3,64,20,0.15,0.122,0.132,0.0767
704,3,64,22,0.1643,0.124,0.133,0.0736
705,3,64,24,0.15,0.124,0.13,0.0741
